"2010 SOC Code","2018 SOC Code","2018 Census Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","2010 Census Title","2010 Census Code","2018 SOC Title","2018 Census Title","O.NET.SOC.2019.Code","O.NET.SOC.2019.Title","2018 STEM Category","education_stw_2010","knowledge_stw_2010","rothwell_stw_2010"
"11-2031","11-2033","0060","11-2031.00","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers","Public relations and fundraising managers","0060","Fundraising Managers","Public relations and fundraising managers","11-2033.00","Fundraising Managers","Non-STEM","No","No","Non-STW"
"11-3011","11-3012","0101","11-3011.00","Administrative Services Managers","Administrative Services Managers","Administrative services managers","0100","Administrative Services Managers","Administrative services managers","11-3013.00","Facilities Managers","Non-STEM","Yes","No","Non-STW"
"11-3011","11-3012","0101","11-3011.00","Administrative Services Managers","Administrative Services Managers","Administrative services managers","0100","Administrative Services Managers","Administrative services managers","11-3012.00","Administrative Services Managers","Non-STEM","Yes","No","Non-STW"
"11-3011","11-3013","0102","11-3011.00","Administrative Services Managers","Administrative Services Managers","Administrative services managers","0100","Facilities Managers","Facilities managers","11-3012.00","Administrative Services Managers","Non-STEM","Yes","No","Non-STW"
"11-3011","11-3013","0102","11-3011.00","Administrative Services Managers","Administrative Services Managers","Administrative services managers","0100","Facilities Managers","Facilities managers","11-3013.00","Facilities Managers","Non-STEM","Yes","No","Non-STW"
"11-3021","11-3021","0110","11-3021.00","Computer and Information Systems Managers","Computer and Information Systems Managers","Computer and information systems managers","0110","Computer and Information Systems Managers","Computer and information systems managers","11-3021.00","Computer and Information Systems Managers","STEM","No","Yes","Non-STW"
"11-3031","11-3031","0120","11-3031.01","Treasurers and Controllers","Financial Managers","Financial managers","0120","Financial Managers","Financial managers","11-3031.01","Treasurers and Controllers","Non-STEM","No","Yes","Non-STW"
"11-3031","11-3031","0120","11-3031.00","Financial Managers","Financial Managers","Financial managers","0120","Financial Managers","Financial managers","11-3031.00","Financial Managers","Non-STEM","No","Yes","Non-STW"
"11-3031","11-3031","0120","11-3031.02","Financial Managers, Branch or Department","Financial Managers","Financial managers","0120","Financial Managers","Financial managers","11-3031.00","Financial Managers","Non-STEM","No","Yes","Non-STW"
"11-3051","11-3051","0140","11-3051.03","Biofuels Production Managers","Industrial Production Managers","Industrial production managers","0140","Industrial Production Managers","Industrial production managers","11-3051.03","Biofuels Production Managers","Non-STEM","Yes","Yes","STW"
"11-3051","11-3051","0140","11-3051.02","Geothermal Production Managers","Industrial Production Managers","Industrial production managers","0140","Industrial Production Managers","Industrial production managers","11-3051.02","Geothermal Production Managers","Non-STEM","Yes","Yes","STW"
"11-3051","11-3051","0140","11-3051.01","Quality Control Systems Managers","Industrial Production Managers","Industrial production managers","0140","Industrial Production Managers","Industrial production managers","11-3051.01","Quality Control Systems Managers","Non-STEM","Yes","Yes","STW"
"11-3051","11-3051","0140","11-3051.06","Hydroelectric Production Managers","Industrial Production Managers","Industrial production managers","0140","Industrial Production Managers","Industrial production managers","11-3051.06","Hydroelectric Production Managers","Non-STEM","Yes","Yes","STW"
"11-3051","11-3051","0140","11-3051.04","Biomass Power Plant Managers","Industrial Production Managers","Industrial production managers","0140","Industrial Production Managers","Industrial production managers","11-3051.04","Biomass Power Plant Managers","Non-STEM","Yes","Yes","STW"
"11-3051","11-3051","0140","11-3051.00","Industrial Production Managers","Industrial Production Managers","Industrial production managers","0140","Industrial Production Managers","Industrial production managers","11-3051.00","Industrial Production Managers","Non-STEM","Yes","Yes","STW"
"11-3051","11-3051","0140","11-3051.05","Methane/Landfill Gas Collection System Operators","Industrial Production Managers","Industrial production managers","0140","Industrial Production Managers","Industrial production managers","11-3051.00","Industrial Production Managers","Non-STEM","Yes","Yes","STW"
"11-3061","11-3061","0150","11-3061.00","Purchasing Managers","Purchasing Managers","Purchasing managers","0150","Purchasing Managers","Purchasing managers","11-3061.00","Purchasing Managers","Non-STEM","No","No","Non-STW"
"11-3071","11-3071","0160","11-3071.02","Storage and Distribution Managers","Transportation, Storage, and Distribution Managers","Transportation, storage, and distribution managers","0160","Transportation, Storage, and Distribution Managers","Transportation, storage, and distribution managers","11-3071.00","Transportation, Storage, and Distribution Managers","Non-STEM","No","No","Non-STW"
"11-3071","11-3071","0160","11-3071.00","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers","Transportation, storage, and distribution managers","0160","Transportation, Storage, and Distribution Managers","Transportation, storage, and distribution managers","11-3071.00","Transportation, Storage, and Distribution Managers","Non-STEM","No","No","Non-STW"
"11-3071","11-3071","0160","11-3071.03","Logistics Managers","Transportation, Storage, and Distribution Managers","Transportation, storage, and distribution managers","0160","Transportation, Storage, and Distribution Managers","Transportation, storage, and distribution managers","11-3071.00","Transportation, Storage, and Distribution Managers","Non-STEM","No","No","Non-STW"
"11-3071","11-3071","0160","11-3071.01","Transportation Managers","Transportation, Storage, and Distribution Managers","Transportation, storage, and distribution managers","0160","Transportation, Storage, and Distribution Managers","Transportation, storage, and distribution managers","11-3071.00","Transportation, Storage, and Distribution Managers","Non-STEM","No","No","Non-STW"
"11-3111","11-3111","0135","11-3111.00","Compensation and Benefits Managers","Compensation and Benefits Managers","Compensation and benefits managers","0135","Compensation and Benefits Managers","Compensation and benefits managers","11-3111.00","Compensation and Benefits Managers","Non-STEM","No","Yes","Non-STW"
"11-3121","11-3121","0136","11-3121.00","Human Resources Managers","Human Resources Managers","Human resources managers","0136","Human Resources Managers","Human resources managers","11-3121.00","Human Resources Managers","Non-STEM","No","No","Non-STW"
"11-3131","11-3131","0137","11-3131.00","Training and Development Managers","Training and Development Managers","Training and development managers","0137","Training and Development Managers","Training and development managers","11-3131.00","Training and Development Managers","Non-STEM","No","No","Non-STW"
"11-9013","11-9013","0205","11-9013.01","Nursery and Greenhouse Managers","Farmers, Ranchers, and Other Agricultural Managers","Farmers, ranchers, and other agricultural managers","0205","Farmers, Ranchers, and Other Agricultural Managers","Farmers, ranchers, and other agricultural managers","11-9013.00","Farmers, Ranchers, and Other Agricultural Managers","Non-STEM","Yes","Yes","STW"
"11-9013","11-9013","0205","11-9013.02","Farm and Ranch Managers","Farmers, Ranchers, and Other Agricultural Managers","Farmers, ranchers, and other agricultural managers","0205","Farmers, Ranchers, and Other Agricultural Managers","Farmers, ranchers, and other agricultural managers","11-9013.00","Farmers, Ranchers, and Other Agricultural Managers","Non-STEM","Yes","Yes","STW"
"11-9013","11-9013","0205","11-9013.03","Aquacultural Managers","Farmers, Ranchers, and Other Agricultural Managers","Farmers, ranchers, and other agricultural managers","0205","Farmers, Ranchers, and Other Agricultural Managers","Farmers, ranchers, and other agricultural managers","11-9013.00","Farmers, Ranchers, and Other Agricultural Managers","Non-STEM","Yes","Yes","STW"
"11-9013","11-9013","0205","11-9013.00","Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers","Farmers, ranchers, and other agricultural managers","0205","Farmers, Ranchers, and Other Agricultural Managers","Farmers, ranchers, and other agricultural managers","11-9013.00","Farmers, Ranchers, and Other Agricultural Managers","Non-STEM","Yes","Yes","STW"
"11-9021","11-9021","0220","11-9021.00","Construction Managers","Construction Managers","Construction managers","0220","Construction Managers","Construction managers","11-9021.00","Construction Managers","Non-STEM","No","Yes","Non-STW"
"11-9031","11-9031","0230","11-9031.00","Education Administrators, Preschool and Childcare Center/Program","Education Administrators, Preschool and Childcare Center/Program","Education administrators","0230","Education and Childcare Administrators, Preschool and Daycare","Education and childcare administrators","11-9031.00","Education and Childcare Administrators, Preschool and Daycare","Non-STEM","Yes","No","Non-STW"
"11-9032","11-9032","0230","11-9032.00","Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School","Education administrators","0230","Education Administrators, Kindergarten through Secondary","Education and childcare administrators","11-9032.00","Education Administrators, Kindergarten through Secondary","Non-STEM","No","No","Non-STW"
"11-9033","11-9033","0230","11-9033.00","Education Administrators, Postsecondary","Education Administrators, Postsecondary","Education administrators","0230","Education Administrators, Postsecondary","Education and childcare administrators","11-9033.00","Education Administrators, Postsecondary","Non-STEM","No","No","Non-STW"
"11-9039","11-9179","0426","11-9039.02","Fitness and Wellness Coordinators","Education Administrators, All Other","Education administrators","0230","Personal Service Managers, All Other","Personal service managers, all other","11-9179.01","Fitness and Wellness Coordinators","Non-STEM","No","No","Non-STW"
"11-9039","11-9039","0230","11-9039.00","Education Administrators, All Other","Education Administrators, All Other","Education administrators","0230","Education Administrators, All Other","Education and childcare administrators","11-9039.00","Education Administrators, All Other","Non-STEM","No","No","Non-STW"
"11-9039","11-9039","0230","11-9039.01","Distance Learning Coordinators","Education Administrators, All Other","Education administrators","0230","Education Administrators, All Other","Education and childcare administrators","11-9039.00","Education Administrators, All Other","Non-STEM","No","No","Non-STW"
"11-9041","11-9041","0300","11-9041.00","Architectural and Engineering Managers","Architectural and Engineering Managers","Architectural and engineering managers","0300","Architectural and Engineering Managers","Architectural and engineering managers","11-9041.00","Architectural and Engineering Managers","STEM","No","Yes","Non-STW"
"11-9041","11-9041","0300","11-9041.01","Biofuels/Biodiesel Technology and Product Development Managers","Architectural and Engineering Managers","Architectural and engineering managers","0300","Architectural and Engineering Managers","Architectural and engineering managers","11-9041.01","Biofuels/Biodiesel Technology and Product Development Managers","STEM","No","Yes","Non-STW"
"11-9051","11-9051","0310","11-9051.00","Food Service Managers","Food Service Managers","Food service managers","0310","Food Service Managers","Food service managers","11-9051.00","Food Service Managers","Non-STEM","Yes","No","Non-STW"
"11-9061","11-9171","0325","11-9061.00","Funeral Service Managers","Funeral Service Managers","Funeral service managers","0325","Funeral Home Managers","Funeral home managers","11-9171.00","Funeral Home Managers","Non-STEM","Yes","No","Non-STW"
"11-9071","11-9071","0335","11-9071.00","Gaming Managers","Gaming Managers","Gaming managers","0330","Gambling Managers","Entertainment and recreation managers","11-9071.00","Gambling Managers","Non-STEM","Yes","No","Non-STW"
"11-9081","11-9081","0340","11-9081.00","Lodging Managers","Lodging Managers","Lodging managers","0340","Lodging Managers","Lodging managers","11-9081.00","Lodging Managers","Non-STEM","No","Yes","Non-STW"
"11-9111","11-9111","0350","11-9111.00","Medical and Health Services Managers","Medical and Health Services Managers","Medical and health services managers","0350","Medical and Health Services Managers","Medical and health services managers","11-9111.00","Medical and Health Services Managers","STEM-related","No","No","Non-STW"
"11-9121","11-9121","0360","11-9121.02","Water Resource Specialists","Natural Sciences Managers","Natural sciences managers","0360","Natural Sciences Managers","Natural sciences managers","11-9121.02","Water Resource Specialists","STEM","No","No","Non-STW"
"11-9121","11-9121","0360","11-9121.00","Natural Sciences Managers","Natural Sciences Managers","Natural sciences managers","0360","Natural Sciences Managers","Natural sciences managers","11-9121.00","Natural Sciences Managers","STEM","No","No","Non-STW"
"11-9121","11-9121","0360","11-9121.01","Clinical Research Coordinators","Natural Sciences Managers","Natural sciences managers","0360","Natural Sciences Managers","Natural sciences managers","11-9121.01","Clinical Research Coordinators","STEM","No","No","Non-STW"
"11-9131","11-9131","0400","11-9131.00","Postmasters and Mail Superintendents","Postmasters and Mail Superintendents","Postmasters and mail superintendents","0400","Postmasters and Mail Superintendents","Postmasters and mail superintendents","11-9131.00","Postmasters and Mail Superintendents","Non-STEM","Yes","Yes","STW"
"11-9141","11-9141","0410","11-9141.00","Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers","Property, real estate, and community association managers","0410","Property, Real Estate, and Community Association Managers","Property, real estate, and community association managers","11-9141.00","Property, Real Estate, and Community Association Managers","Non-STEM","No","Yes","Non-STW"
"11-9151","11-9151","0420","11-9151.00","Social and Community Service Managers","Social and Community Service Managers","Social and community service managers","0420","Social and Community Service Managers","Social and community service managers","11-9151.00","Social and Community Service Managers","Non-STEM","No","No","Non-STW"
"11-9161","11-9161","0425","11-9161.00","Emergency Management Directors","Emergency Management Directors","Emergency management directors","0425","Emergency Management Directors","Emergency management directors","11-9161.00","Emergency Management Directors","Non-STEM","No","No","Non-STW"
"11-9199","11-3013","0102","11-9199.07","Security Managers","Managers, All Other","Managers, all other","0430","Facilities Managers","Facilities managers","11-9199.00","Managers, All Other","Non-STEM","No","No","Non-STW"
"11-9199","11-3013","0102","11-9199.07","Security Managers","Managers, All Other","Managers, all other","0430","Facilities Managers","Facilities managers","11-3013.01","Security Managers","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-9179.00","Personal Service Managers, All Other","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","13-1082.00","Project Management Specialists","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.04","Supply Chain Managers","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-3071.04","Supply Chain Managers","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.08","Loss Prevention Managers","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-9199.08","Loss Prevention Managers","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.11","Brownfield Redevelopment Specialists and Site Managers","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-9199.11","Brownfield Redevelopment Specialists and Site Managers","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.09","Wind Energy Operations Managers","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-9199.09","Wind Energy Operations Managers","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-9199.00","Managers, All Other","Non-STEM","No","No","Non-STW"
"11-9199","11-9179","0426","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Personal Service Managers, All Other","Personal service managers, all other","11-9199.00","Managers, All Other","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-9072.00","Entertainment and Recreation Managers, Except Gambling","Non-STEM","No","No","Non-STW"
"11-9199","11-9179","0426","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Personal Service Managers, All Other","Personal service managers, all other","11-9072.00","Entertainment and Recreation Managers, Except Gambling","Non-STEM","No","No","Non-STW"
"11-9199","11-9179","0426","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Personal Service Managers, All Other","Personal service managers, all other","11-9179.00","Personal Service Managers, All Other","Non-STEM","No","No","Non-STW"
"11-9199","11-9179","0426","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Personal Service Managers, All Other","Personal service managers, all other","13-1082.00","Project Management Specialists","Non-STEM","No","No","Non-STW"
"11-9199","13-1082","0705","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Project Management Specialists","Project management specialists","11-9072.00","Entertainment and Recreation Managers, Except Gambling","Non-STEM","No","No","Non-STW"
"11-9199","11-9072","0335","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Entertainment and Recreation Managers, Except Gambling","Entertainment and recreation managers","11-9179.00","Personal Service Managers, All Other","Non-STEM","No","No","Non-STW"
"11-9199","13-1082","0705","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Project Management Specialists","Project management specialists","13-1082.00","Project Management Specialists","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.02","Compliance Managers","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-9199.02","Compliance Managers","Non-STEM","No","No","Non-STW"
"11-9199","13-1082","0705","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Project Management Specialists","Project management specialists","11-9179.00","Personal Service Managers, All Other","Non-STEM","No","No","Non-STW"
"11-9199","11-9072","0335","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Entertainment and Recreation Managers, Except Gambling","Entertainment and recreation managers","11-9199.00","Managers, All Other","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.03","Investment Fund Managers","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-3031.03","Investment Fund Managers","Non-STEM","No","No","Non-STW"
"11-9199","11-9072","0335","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Entertainment and Recreation Managers, Except Gambling","Entertainment and recreation managers","13-1082.00","Project Management Specialists","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.10","Wind Energy Project Managers","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-9199.10","Wind Energy Development Managers","Non-STEM","No","No","Non-STW"
"11-9199","13-1082","0705","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Project Management Specialists","Project management specialists","11-9199.00","Managers, All Other","Non-STEM","No","No","Non-STW"
"11-9199","11-9199","0440","11-9199.01","Regulatory Affairs Managers","Managers, All Other","Managers, all other","0430","Managers, All Other","Managers, all other","11-9199.01","Regulatory Affairs Managers","Non-STEM","No","No","Non-STW"
"11-9199","11-9072","0335","11-9199.00","Managers, All Other","Managers, All Other","Managers, all other","0430","Entertainment and Recreation Managers, Except Gambling","Entertainment and recreation managers","11-9072.00","Entertainment and Recreation Managers, Except Gambling","Non-STEM","No","No","Non-STW"
"13-1011","13-1011","0500","13-1011.00","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes","Agents and business managers of artists, performers, and athletes","0500","Agents and Business Managers of Artists, Performers, and Athletes","Agents and business managers of artists, performers, and athletes","13-1011.00","Agents and Business Managers of Artists, Performers, and Athletes","Non-STEM","No","No","Non-STW"
"13-1021","13-1021","0510","13-1021.00","Buyers and Purchasing Agents, Farm Products","Buyers and Purchasing Agents, Farm Products","Buyers and purchasing agents, farm products","0510","Buyers and Purchasing Agents, Farm Products","Buyers and purchasing agents, farm products","13-1021.00","Buyers and Purchasing Agents, Farm Products","Non-STEM","No","Yes","Non-STW"
"13-1022","13-1022","0520","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products","Wholesale and retail buyers, except farm products","0520","Wholesale and Retail Buyers, Except Farm Products","Wholesale and retail buyers, except farm products","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","Non-STEM","Yes","No","Non-STW"
"13-1023","13-1023","0530","13-1023.00","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing agents, except wholesale, retail, and farm products","0530","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing agents, except wholesale, retail, and farm products","13-1023.00","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Non-STEM","No","No","Non-STW"
"13-1031","13-1031","0540","13-1031.01","Claims Examiners, Property and Casualty Insurance","Claims Adjusters, Examiners, and Investigators","Claims adjusters, appraisers, examiners, and investigators","0540","Claims Adjusters, Examiners, and Investigators","Claims adjusters, appraisers, examiners, and investigators","13-1031.00","Claims Adjusters, Examiners, and Investigators","Non-STEM","No","No","Non-STW"
"13-1031","13-1031","0540","13-1031.02","Insurance Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators","Claims adjusters, appraisers, examiners, and investigators","0540","Claims Adjusters, Examiners, and Investigators","Claims adjusters, appraisers, examiners, and investigators","13-1031.00","Claims Adjusters, Examiners, and Investigators","Non-STEM","No","No","Non-STW"
"13-1031","13-1031","0540","13-1031.00","Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators","Claims adjusters, appraisers, examiners, and investigators","0540","Claims Adjusters, Examiners, and Investigators","Claims adjusters, appraisers, examiners, and investigators","13-1031.00","Claims Adjusters, Examiners, and Investigators","Non-STEM","No","No","Non-STW"
"13-1032","13-1032","0540","13-1032.00","Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage","Claims adjusters, appraisers, examiners, and investigators","0540","Insurance Appraisers, Auto Damage","Claims adjusters, appraisers, examiners, and investigators","13-1032.00","Insurance Appraisers, Auto Damage","Non-STEM","Yes","No","Non-STW"
"13-1041","13-1041","0565","13-1041.01","Environmental Compliance Inspectors","Compliance Officers","Compliance officers","0565","Compliance Officers","Compliance officers","13-1041.01","Environmental Compliance Inspectors","Non-STEM","No","No","Non-STW"
"13-1041","13-1041","0565","13-1041.03","Equal Opportunity Representatives and Officers","Compliance Officers","Compliance officers","0565","Compliance Officers","Compliance officers","13-1041.03","Equal Opportunity Representatives and Officers","Non-STEM","No","No","Non-STW"
"13-1041","13-1041","0565","13-1041.00","Compliance Officers","Compliance Officers","Compliance officers","0565","Compliance Officers","Compliance officers","13-1041.00","Compliance Officers","Non-STEM","No","No","Non-STW"
"13-1041","13-1041","0565","13-1041.07","Regulatory Affairs Specialists","Compliance Officers","Compliance officers","0565","Compliance Officers","Compliance officers","13-1041.07","Regulatory Affairs Specialists","Non-STEM","No","No","Non-STW"
"13-1041","13-1041","0565","13-1041.02","Licensing Examiners and Inspectors","Compliance Officers","Compliance officers","0565","Compliance Officers","Compliance officers","13-1041.00","Compliance Officers","Non-STEM","No","No","Non-STW"
"13-1041","13-1041","0565","13-1041.06","Coroners","Compliance Officers","Compliance officers","0565","Compliance Officers","Compliance officers","13-1041.06","Coroners","Non-STEM","No","No","Non-STW"
"13-1041","13-1041","0565","13-1041.04","Government Property Inspectors and Investigators","Compliance Officers","Compliance officers","0565","Compliance Officers","Compliance officers","13-1041.04","Government Property Inspectors and Investigators","Non-STEM","No","No","Non-STW"
"13-1051","13-1051","0600","13-1051.00","Cost Estimators","Cost Estimators","Cost estimators","0600","Cost Estimators","Cost estimators","13-1051.00","Cost Estimators","Non-STEM","No","Yes","Non-STW"
"13-1071","13-1071","0630","13-1071.00","Human Resources Specialists","Human Resources Specialists","Human resources workers","0630","Human Resources Specialists","Human resources workers","13-1071.00","Human Resources Specialists","Non-STEM","No","No","Non-STW"
"13-1074","13-1074","0630","13-1074.00","Farm Labor Contractors","Farm Labor Contractors","Human resources workers","0630","Farm Labor Contractors","Human resources workers","13-1074.00","Farm Labor Contractors","Non-STEM","Yes","No","Non-STW"
"13-1075","13-1075","0630","13-1075.00","Labor Relations Specialists","Labor Relations Specialists","Human resources workers","0630","Labor Relations Specialists","Human resources workers","13-1075.00","Labor Relations Specialists","Non-STEM","No","No","Non-STW"
"13-1081","13-1081","0700","13-1081.00","Logisticians","Logisticians","Logisticians","0700","Logisticians","Logisticians","13-1081.00","Logisticians","Non-STEM","No","Yes","Non-STW"
"13-1081","13-1081","0700","13-1081.01","Logistics Engineers","Logisticians","Logisticians","0700","Logisticians","Logisticians","13-1081.01","Logistics Engineers","Non-STEM","No","Yes","Non-STW"
"13-1081","13-1081","0700","13-1081.02","Logistics Analysts","Logisticians","Logisticians","0700","Logisticians","Logisticians","13-1081.02","Logistics Analysts","Non-STEM","No","Yes","Non-STW"
"13-1111","13-1111","0710","13-1111.00","Management Analysts","Management Analysts","Management analysts","0710","Management Analysts","Management analysts","13-1111.00","Management Analysts","Non-STEM","No","No","Non-STW"
"13-1121","13-1121","0725","13-1121.00","Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners","Meeting, convention, and event planners","0725","Meeting, Convention, and Event Planners","Meeting, convention, and event planners","13-1121.00","Meeting, Convention, and Event Planners","Non-STEM","Yes","No","Non-STW"
"13-1131","13-1131","0726","13-1131.00","Fundraisers","Fundraisers","Fundraisers","0726","Fundraisers","Fundraisers","13-1131.00","Fundraisers","Non-STEM","No","No","Non-STW"
"13-1141","13-1141","0640","13-1141.00","Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists","Compensation, benefits, and job analysis specialists","0640","Compensation, Benefits, and Job Analysis Specialists","Compensation, benefits, and job analysis specialists","13-1141.00","Compensation, Benefits, and Job Analysis Specialists","Non-STEM","No","Yes","Non-STW"
"13-1151","13-1151","0650","13-1151.00","Training and Development Specialists","Training and Development Specialists","Training and development specialists","0650","Training and Development Specialists","Training and development specialists","13-1151.00","Training and Development Specialists","Non-STEM","No","No","Non-STW"
"13-1161","13-1161","0735","13-1161.00","Market Research Analysts and Marketing Specialists","Market Research Analysts and Marketing Specialists","Market research analysts and marketing specialists","0735","Market Research Analysts and Marketing Specialists","Market research analysts and marketing specialists","13-1161.00","Market Research Analysts and Marketing Specialists","Non-STEM","No","Yes","Non-STW"
"13-1199","13-1199","0750","13-1199.01","Energy Auditors","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Business Operations Specialists, All Other","Business operations specialists, all other","47-4011.01","Energy Auditors","Non-STEM","No","No","Non-STW"
"13-1199","13-1199","0750","13-1199.00","Business Operations Specialists, All Other","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Business Operations Specialists, All Other","Business operations specialists, all other","13-1082.00","Project Management Specialists","Non-STEM","No","No","Non-STW"
"13-1199","13-1199","0750","13-1199.06","Online Merchants","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Business Operations Specialists, All Other","Business operations specialists, all other","13-1199.06","Online Merchants","Non-STEM","No","No","Non-STW"
